dropperid	itemid	minimum_quantity	maximum_quantity	chance
8840000	1003172	1	1	80000
8840000	1003173	1	1	80000
8840000	1003174	1	1	80000
8840000	1003175	1	1	80000
8840000	1003176	1	1	80000
8840000	1052314	1	1	50000
8840000	1052315	1	1	50000
8840000	1052316	1	1	50000
8840000	1052317	1	1	50000
8840000	1052318	1	1	50000
8840000	1072485	1	1	60000
8840000	1072487	1	1	60000
8840000	1072488	1	1	60000
8840000	1072489	1	1	60000
8840000	1082295	1	1	60000
8840000	1082296	1	1	60000
8840000	1082297	1	1	60000
8840000	1082298	1	1	60000
8840000	1082299	1	1	60000
8840000	1102275	1	1	60000
8840000	1102276	1	1	60000
8840000	1102277	1	1	60000
8840000	1102278	1	1	60000
8840000	1102279	1	1	60000
8840000	4031138	3	8	800000
8840001	4031138	1	3	600000
8850000	4031138	1	3	500000
8850001	4031138	1	3	500000
8850002	4031138	1	3	500000
8850003	4031138	1	3	500000
8850004	4031138	1	3	500000
8850005	4031138	1	3	500000
8850006	4031138	1	3	500000
8850007	4031138	1	3	500000
8850008	4031138	1	3	500000
8850009	4031138	1	3	500000
8850011	37440	1	1	120000
8850011	37441	1	1	120000
8850011	37442	1	1	120000
8850011	37443	1	1	120000
8850011	37444	1	1	120000
8850011	37445	1	1	120000
8850011	37446	1	1	120000
8850011	37447	1	1	120000
8850011	1003159	1	1	120000
8850011	1003160	1	1	30000
8850011	1004532	1	1	120000
8850011	1005244	1	1	120000
8850011	1051077	1	1	120000
8850011	1051078	1	1	120000
8850011	1051079	1	1	120000
8850011	1051080	1	1	120000
8850011	1051573	1	1	120000
8850011	1052304	1	1	120000
8850011	1052305	1	1	30000
8850011	1052738	1	1	120000
8850011	1071120	1	1	120000
8850011	1072476	1	1	120000
8850011	1072477	1	1	30000
8850011	1082290	1	1	120000
8850011	1082291	1	1	30000
8850011	1142647	1	1	120000
8850011	1142906	1	1	120000
8850011	1332127	1	1	120000
8850011	1332128	1	1	30000
8850011	1372081	1	1	120000
8850011	1372082	1	1	30000
8850011	1402092	1	1	120000
8850011	1402093	1	1	30000
8850011	1432082	1	1	120000
8850011	1432083	1	1	30000
8850011	1452108	1	1	120000
8850011	1452109	1	1	30000
8850011	1462095	1	1	120000
8850011	1462096	1	1	30000
8850011	1472119	1	1	120000
8850011	1472120	1	1	30000
8850011	1482081	1	1	120000
8850011	1482082	1	1	30000
8850011	1492082	1	1	120000
8850011	1492083	1	1	30000
8850011	4031138	5	12	900000
